"prey_sp","prey_order","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num"
"Abraliopsis_felis","Oegopsida","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5"
"Acanthephyra_pelagica","Decapoda","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Alpheus_glaber","Decapoda","larva","epipelagic","coastal","diel (yes)","season (no)","schooling","7"
"Anchylomera_blossevillei","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Ancistroteuthis_lichtensteinii","Oegopsida","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Anotopterus_pharao","Aulopiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Arctozenus_risso","Aulopiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","non-schooling","2"
"Argonauta_argo","Octopoda","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Argyropelecus_olfersii","Stomiiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Arnoglossus_imperialis","Pleuronectiformes","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","6"
"Belone_belone","Beloniformes","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","3"
"Benthosema_glaciale","Myctophiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Berryteuthis_anonychus","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Brachioteuthis_riisei","Oegopsida","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Brachyscelus_crusculum","Amphipoda","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Capros_aper","Perciformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Carinaria_lamarckii","Littorinimorpha","adult","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling","5"
"Ceratoscopelus_maderensis","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Chelophyes_appendiculata","Siphonophorae","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Chilara_taylori","Ophidiiformes","juvenile","epipelagic","continental shelf","diel (yes)","season (no)","schooling","7"
"Chiroteuthis_veranii","Oegopsida","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling","5"
"Chtenopteryx_sicula","Decapodiformes","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Cololabis_saira","Beloniformes","juvenile","epipelagic","oceanic","diel (no)","season (yes)","schooling","3"
"Diaphus_theta","Myctophiformes","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","2"
"Doryteuthis_opalescens","Myopsida","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","6"
"Eledone_cirrhosa","Octopoda","juvenile","demersal","continental shelf","diel (yes)","season (no)","non-schooling","7"
"Engraulis_encrasicolus","Clupeiformes","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","5"
