"","prey_class","prey_order","prey_family","prey_sp","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status","b_shape_r","eye_body_r","standard_total","energy_density","percent_protein","percent_lipid","maxFO","maxN","maxM"
"1","Hydrozoa","Siphonophorae","Diphyidae","Chelophyes appendiculata","epipelagic","continental shelf","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",0.2,1,"1.0","0.0","0.0","0.0","schooling","NA","none",4.10585429301604,0,1,NA,NA,NA,16,0,0
"2","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra pelagica","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","elongated",27,1,"0.0","0.0","0.0","0.0","schooling","NA","none",6.23705788599511,0.0221404596661903,0.800545022150694,NA,NA,6.5375,38.8888888888889,0,0
"3","Malacostraca","Decapoda","Oplophpridae","Systellaspis debilis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","elongated",1.7,1,"0.0","0.0","0.0","0.0","schooling","3.32","none",8.42589990803702,0.0253097464428363,0.859183753943344,3.156,9.3,2.59,8,0,0
"4","Malacostraca","Decapoda","Polybiidae","Polybius henslowii","epipelagic","continental shelf","NA","diel_UN","1.0","refuge_yes","0.0","season_no","depressiform",4.4,1,"0.0","1.0","0.0","0.0","shoaling","3.46","none",NA,NA,NA,4.2,14.1,1.4,51.4285714285714,0,1
"5","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","epipelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",110,1,"0.0","1.0","1.0","1.0","schooling","4.43","highly commercial",3.51737223401035,0.039496938235589,0.909395083791833,6.12956,23.79125,1.69875,0.6,0.42593469,0
"6","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","epipelagic","continental shelf","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",60,1,"0.0","1.0","1.0","1.0","schooling","3.63","highly commercial",5.5988379343569,0.0405641994153137,0.87977308096772,7.82333333333333,14.9,11.85,1.1,0.4,0.2
"7","Cephalopoda","Oegopsida","Onychoteuthidae","Onychoteuthis borealijaponica","epipelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",37,0,"0.0","1.0","0.0","0.0","schooling","4.5","commercial",5.51448267771059,0.0376700668718009,0.665533340197078,5.47538181818182,12.8,NA,58.5,13.4,3.3
"8","Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","NA","season_NA","fusiform",8,0,"1.0","1.0","0.0","0.0","NA","NA","none",5.28057889844523,0.050754532481781,0.458302808973147,4.4,17.4,NA,36.4,11.3,2.13235204523023
"9","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis volatilis","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","1.0","season_yes","fusiform",31,0,"0.0","1.0","0.0","0.0","schooling","3.67","potential",6.13405588455912,0.037611929842542,0.805235460691636,NA,NA,NA,20.7,3.3,2.8
"10","Cephalopoda","Oegopsida","Ommastrephidae","Hyaloteuthis pelagica","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","0.0","season_no","fusiform",9,0,"0.0","1.0","0.0","0.0","schooling","3.8","none",6.38336970913376,0.0613610620980357,0.648279258632226,NA,NA,NA,2.9,0,0.5
"11","Cephalopoda","Octopoda","Octopodidae","Octopus vulgaris","benthic","reef-associated","0.0","diel_no","1.0","refuge_yes","1.0","season_yes","fusiform",25,0,"0.0","1.0","0.0","0.0","solitary","3.74","commercial",6.50520517909255,0.0263079301509066,0.214655308351039,3.42,16.0925,0.823,16.6666666666667,0,0
"12","Cephalopoda","Oegopsida","Ommastrephidae","Ornithoteuthis antillarum","mesopelagic","oceanic","1.0","diel_yes","0.0","refuge_no","0.0","season_no","fusiform",20,0,"0.0","0.0","0.0","0.0","schooling","4.14","none",5.90111926725182,0.0388268519032531,0.805734756594708,NA,NA,NA,12,0,0
"13","Cephalopoda","Oegopsida","Onychoteuthidae","Onykia robusta","demersal","oceanic","1.0","diel_yes","0.0","refuge_no","NA","season_NA","fusiform",230,0,"0.0","0.0","0.0","0.0","shoaling","4.13","none",7.59702024743419,0.0114076278052255,0.573442471067685,NA,NA,NA,6,0.5,0.3
